DISTRICT,Domain,Sub_domain,pH,TN%,P2O5_kg/ha,K2O_kg/ha,OM%,Zinc(ppm),Boron(ppm),Sand%,Slit%,Clay%,pH_rating,OM_rating,TN_rating,P2O5_rating,K2O_rating,Boron_rating,Zinc_rating
MUGU,Hill,Hill,7.01,0.24,144.6,538.8,4.46,2.01,0.48,53.45,34.87,12.13,Neutral,High,High,Very High,Very High,Low,Medium
UDAYAPUR,Hill,Hill,6.41,0.13,72.14,366.29,2.7,1.34,0.85,52.64,30.97,18.88,Low Acidic,Medium,Medium,High,High,Medium,Medium
SURKHET,Terai,Inner_terai,6.67,0.17,108.57,410.75,3.4,1.04,1.19,46.34,37.75,17.51,Neutral,Medium,Medium,High,High,Medium,Medium
MAHOTTARI,Terai,Central_terai,6.27,0.1,40.72,108.3,1.7,0.58,0.59,51.26,32.4,16.65,Low Acidic,Low,Medium,Medium,Low,Low,Low
KAPILBASTU,Terai,Hill,6.99,0.1,46.9,162.87,2.12,0.42,5.33,33.89,48.38,25.94,Neutral,Low,Medium,Medium,Medium,Very High,Very low
DADELDHURA,Hill,Hill,6.52,0.16,118.87,439.46,3.56,1.65,1.06,58.39,26.68,16.89,Neutral,High,High,Very High,High,Medium,Medium
JAJARKOT,Hill,Hill,6.33,0.17,173.85,499.57,3.63,1.75,0.88,52.11,34.27,11.08,Low Acidic,High,High,Very High,High,Medium,Medium
DOLAKHA,Hill,Hill,6.19,0.14,215.21,473.33,5.49,2.78,1.06,53.18,34.43,9.06,Low Acidic,Very High,Medium,Very High,High,Medium,Medium
RUKUM_W,Hill,Hill,6.37,0.15,176.62,474.6,3.46,1.77,0.76,56.35,30.01,10.42,Low Acidic,High,High,Very High,High,Medium,Medium
RAMECHHAP,Hill,Hill,6.11,0.1,126.89,398.73,3.94,2.38,0.99,53.98,34.04,12.84,Low Acidic,High,Medium,Very High,High,Medium,Medium
HUMLA,Hill,Hill,7.09,0.25,163.81,584.54,4.66,2.35,0.61,52.39,36.3,13.66,Neutral,High,Very High,Very High,Very High,Low,Medium
DHANKUTA,Hill,Hill,6.44,0.15,59.46,467.54,2.93,1.49,0.93,60.02,17.85,22.37,Low Acidic,Medium,High,High,High,Medium,Medium
TANAHU,Hill,Hill,6.13,0.15,67.25,275.47,3.06,1.67,1.21,43.46,42.51,14.21,Low Acidic,High,High,High,Medium,High,Medium
BARDIYA,Terai,Farwest_terai,7.01,0.12,85.44,219.39,2.33,0.81,1.3,41.94,38.44,19.79,Neutral,Low,Medium,High,Medium,High,Low
SALYAN,Hill,Hill,6.56,0.13,166.05,399.2,2.87,1,0.98,48.38,34.99,16.85,Neutral,Medium,Medium,Very High,High,Medium,Medium
MORANG,Terai,Eastern_terai,6.32,0.12,57.39,269.91,2.36,0.65,0.75,39.05,47.98,13.77,Low Acidic,Low,Medium,High,Medium,Medium,Low
LALITPUR,Hill,Hill,5.92,0.14,106.92,374.89,3.08,1.85,0.99,69.62,25.45,12.25,Medium Acidic,High,Medium,High,High,Medium,Medium
ROLPA,Hill,Hill,6.5,0.08,177.54,507.17,2.52,2,0.76,44.41,38.61,17.12,Low Acidic,Medium,Medium,Very High,Very High,Medium,Medium
MYAGDI,Hill,Hill,6.42,0.11,247.1,438.44,4.12,3.39,1.26,38.7,54.05,6.95,Low Acidic,High,Medium,Very High,High,High,High
BANKE,Terai,Farwest_terai,6.95,0.13,95.38,237.81,2.72,0.85,1.35,38.12,36.66,28.8,Neutral,Medium,Medium,High,Medium,High,Low
DOLPA,Hill,Hill,7.28,0.23,176.55,602.63,4.78,2.28,0.77,53.54,34.83,14.77,Neutral,High,High,Very High,Very High,Medium,Medium
ACHHAM,Hill,Hill,6.23,0.14,71.16,387.83,3.15,1.22,0.96,50.35,32.23,17.51,Low Acidic,High,Medium,High,High,Medium,Medium
BHAKTAPUR,Hill,Hill,5.8,0.11,267,352.78,2.14,1.67,0.88,57.92,31.28,15.85,Medium Acidic,Medium,Medium,Very High,High,Medium,Medium
PANCHTHAR,Hill,Hill,6.17,0.16,106.8,367.38,3.29,1.67,1.65,60.26,25.47,16.06,Low Acidic,High,High,High,High,High,Medium
